attack_fraction,protect_fraction,efficiency
0.00,0.00,0.13566301302953604
0.00,0.02,0.13566301302953604
0.00,0.04,0.13566301302953604
0.00,0.06,0.13566301302953604
0.00,0.08,0.13566301302953604
0.00,0.10,0.13566301302953604
0.00,0.12,0.13566301302953604
0.00,0.14,0.13566301302953604
0.00,0.16,0.13566301302953604
0.00,0.18,0.13566301302953604
0.00,0.20,0.13566301302953604
0.00,0.22,0.13566301302953604
0.00,0.24,0.13566301302953604
0.00,0.26,0.13566301302953604
0.00,0.28,0.13566301302953604
0.00,0.30,0.13566301302953604
0.00,0.32,0.13566301302953604
0.00,0.34,0.13566301302953604
0.00,0.36,0.13566301302953604
0.00,0.38,0.13566301302953604
0.00,0.40,0.13566301302953604
0.00,0.42,0.13566301302953604
0.00,0.44,0.13566301302953604
0.00,0.46,0.13566301302953604
0.00,0.48,0.13566301302953604
0.02,0.00,0.10398945206016359
0.02,0.02,0.10398945206016359
0.02,0.04,0.10398945206016359
0.02,0.06,0.11809346864631096
0.02,0.08,0.11809346864631096
0.02,0.10,0.11809346864631096
0.02,0.12,0.13566301302953604
0.02,0.14,0.13566301302953604
0.02,0.16,0.13566301302953604
0.02,0.18,0.13566301302953604
0.02,0.20,0.13566301302953604
0.02,0.22,0.13566301302953604
0.02,0.24,0.13566301302953604
0.02,0.26,0.13566301302953604
0.02,0.28,0.13566301302953604
0.02,0.30,0.13566301302953604
0.02,0.32,0.13566301302953604
0.02,0.34,0.13566301302953604
0.02,0.36,0.13566301302953604
0.02,0.38,0.13566301302953604
0.02,0.40,0.13566301302953604
0.02,0.42,0.13566301302953604
0.02,0.44,0.13566301302953604
0.02,0.46,0.13566301302953604
0.02,0.48,0.13566301302953604
0.04,0.00,0.08324177133967929
0.04,0.02,0.08741181093394974
0.04,0.04,0.08741181093394974
0.04,0.06,0.1039188297822323
0.04,0.08,0.11809346864631096
0.04,0.10,0.11809346864631096
0.04,0.12,0.13566301302953604
0.04,0.14,0.13566301302953604
0.04,0.16,0.13566301302953604
0.04,0.18,0.13566301302953604
0.04,0.20,0.13566301302953604
0.04,0.22,0.13566301302953604
0.04,0.24,0.13566301302953604
0.04,0.26,0.13566301302953604
0.04,0.28,0.13566301302953604
0.04,0.30,0.13566301302953604
0.04,0.32,0.13566301302953604
0.04,0.34,0.13566301302953604
0.04,0.36,0.13566301302953604
0.04,0.38,0.13566301302953604
0.04,0.40,0.13566301302953604
0.04,0.42,0.13566301302953604
0.04,0.44,0.13566301302953604
0.04,0.46,0.13566301302953604
0.04,0.48,0.13566301302953604
0.06,0.00,0.05898186842545128
0.06,0.02,0.06354440816230554
0.06,0.04,0.06354440816230554
0.06,0.06,0.08513169381193192
0.06,0.08,0.0964890271824406
0.06,0.10,0.10742876189301197
0.06,0.12,0.13566301302953604
0.06,0.14,0.13566301302953604
0.06,0.16,0.13566301302953604
0.06,0.18,0.13566301302953604
0.06,0.20,0.13566301302953604
0.06,0.22,0.13566301302953604
0.06,0.24,0.13566301302953604
0.06,0.26,0.13566301302953604
0.06,0.28,0.13566301302953604
0.06,0.30,0.13566301302953604
0.06,0.32,0.13566301302953604
0.06,0.34,0.13566301302953604
0.06,0.36,0.13566301302953604
0.06,0.38,0.13566301302953604
0.06,0.40,0.13566301302953604
0.06,0.42,0.13566301302953604
0.06,0.44,0.13566301302953604
0.06,0.46,0.13566301302953604
0.06,0.48,0.13566301302953604
0.08,0.00,0.05141667027883111
0.08,0.02,0.055735968263899496
0.08,0.04,0.055735968263899496
0.08,0.06,0.08613739121763923
0.08,0.08,0.09768244458117296
