attack_fraction,protect_fraction,efficiency
0.00,0.00,0.13566301302953604
0.00,0.02,0.13566301302953604
0.00,0.04,0.13566301302953604
0.00,0.06,0.13566301302953604
0.00,0.08,0.13566301302953604
0.00,0.10,0.13566301302953604
0.00,0.12,0.13566301302953604
0.00,0.14,0.13566301302953604
0.00,0.16,0.13566301302953604
0.00,0.18,0.13566301302953604
0.00,0.20,0.13566301302953604
0.00,0.22,0.13566301302953604
0.00,0.24,0.13566301302953604
0.00,0.26,0.13566301302953604
0.00,0.28,0.13566301302953604
0.00,0.30,0.13566301302953604
0.00,0.32,0.13566301302953604
0.00,0.34,0.13566301302953604
0.00,0.36,0.13566301302953604
0.00,0.38,0.13566301302953604
0.00,0.40,0.13566301302953604
0.00,0.42,0.13566301302953604
0.00,0.44,0.13566301302953604
0.00,0.46,0.13566301302953604
0.00,0.48,0.13566301302953604
0.02,0.00,0.1319658260551947
0.02,0.02,0.1337506409315608
0.02,0.04,0.1337506409315608
0.02,0.06,0.1337506409315608
0.02,0.08,0.1337506409315608
0.02,0.10,0.1337506409315608
0.02,0.12,0.1337506409315608
0.02,0.14,0.13566301302953604
0.02,0.16,0.13566301302953604
0.02,0.18,0.13566301302953604
0.02,0.20,0.13566301302953604
0.02,0.22,0.13566301302953604
0.02,0.24,0.13566301302953604
0.02,0.26,0.13566301302953604
0.02,0.28,0.13566301302953604
0.02,0.30,0.13566301302953604
0.02,0.32,0.13566301302953604
0.02,0.34,0.13566301302953604
0.02,0.36,0.13566301302953604
0.02,0.38,0.13566301302953604
0.02,0.40,0.13566301302953604
0.02,0.42,0.13566301302953604
0.02,0.44,0.13566301302953604
0.02,0.46,0.13566301302953604
0.02,0.48,0.13566301302953604
0.04,0.00,0.1278496392476905
0.04,0.02,0.13392184244783142
0.04,0.04,0.13392184244783142
0.04,0.06,0.13392184244783142
0.04,0.08,0.13392184244783142
0.04,0.10,0.13392184244783142
0.04,0.12,0.13392184244783142
0.04,0.14,0.13566301302953604
0.04,0.16,0.13566301302953604
0.04,0.18,0.13566301302953604
0.04,0.20,0.13566301302953604
0.04,0.22,0.13566301302953604
0.04,0.24,0.13566301302953604
0.04,0.26,0.13566301302953604
0.04,0.28,0.13566301302953604
0.04,0.30,0.13566301302953604
0.04,0.32,0.13566301302953604
0.04,0.34,0.13566301302953604
0.04,0.36,0.13566301302953604
0.04,0.38,0.13566301302953604
0.04,0.40,0.13566301302953604
0.04,0.42,0.13566301302953604
0.04,0.44,0.13566301302953604
0.04,0.46,0.13566301302953604
0.04,0.48,0.13566301302953604
0.06,0.00,0.1148209432658466
0.06,0.02,0.12098623950573642
0.06,0.04,0.12302822789211344
0.06,0.06,0.12302822789211344
0.06,0.08,0.12302822789211344
0.06,0.10,0.13275173841737292
0.06,0.12,0.13275173841737292
0.06,0.14,0.13566301302953604
0.06,0.16,0.13566301302953604
0.06,0.18,0.13566301302953604
0.06,0.20,0.13566301302953604
0.06,0.22,0.13566301302953604
0.06,0.24,0.13566301302953604
0.06,0.26,0.13566301302953604
0.06,0.28,0.13566301302953604
0.06,0.30,0.13566301302953604
0.06,0.32,0.13566301302953604
0.06,0.34,0.13566301302953604
0.06,0.36,0.13566301302953604
0.06,0.38,0.13566301302953604
0.06,0.40,0.13566301302953604
0.06,0.42,0.13566301302953604
0.06,0.44,0.13566301302953604
0.06,0.46,0.13566301302953604
0.06,0.48,0.13566301302953604
0.08,0.00,0.10967900455376815
0.08,0.02,0.1175950427157323
0.08,0.04,0.12292687007130619
0.08,0.06,0.12292687007130619
0.08,0.08,0.12292687007130619
